FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,CYP,Cyprus,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.42865,0.42106,0.41014,0.42744,0.43266,0.51526,0.53203,0.49234,0.7279,0.9057,0.9253,0.89406
A,Annual,CZE,Czechia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.3857,0.40594,0.41019,0.42792,0.4258,0.51511,0.57532,0.59518,0.5971,0.814,0.8456,0.92043
A,Annual,DEU,Germany,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.63153,0.60664,0.6226,0.61644,0.69553,0.77497,0.80377,0.73415,0.7952,0.8856,0.8957,0.92359
A,Annual,DJI,Djibouti,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.01935,0.01821,0.02112,0.02023,0.01485,0.04881,0.05557,0.06979,0.0961,0.2531,0.276,0.38402
A,Annual,DMA,Dominica,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.19014,0.17489,0.17085,0.2718,0.35659,0.62214,0.44237,0.43048,0.4775,0.6871,0.7604,0.67566
A,Annual,DNK,Denmark,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.78707,0.78962,0.76422,0.74414,0.69879,0.86146,0.87403,0.82466,0.7978,0.9979,0.9795,0.99662
A,Annual,DOM,Dominican Republic,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.06723,0.06801,0.09121,0.1472,0.16578,0.2632,0.2945,0.29922,0.3655,0.5279,0.5567,0.7444
A,Annual,DZA,Algeria,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.03552,0.03334,0.03654,0.12298,0.12481,0.18116,0.19885,0.19336,0.3889,0.5787,0.6133,0.8129
A,Annual,ECU,Ecuador,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.08871,0.08388,0.0899,0.15185,0.15954,0.24816,0.33184,0.34379,0.3699,0.5133,0.5269,0.68335
A,Annual,EGY,"Egypt, Arab Rep.",UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.06029,0.06553,0.07173,0.08861,0.12555,0.2232,0.35705,0.30246,0.3222,0.4683,0.5579,0.69456
